label,precision,recall,f1,support,tp,fp,fn
caution_and_advice,0.5894298996819183,0.6859339407744874,0.6340307935254638,3512,2409,1678,1103
displaced_people_and_evacuations,0.7018018018018019,0.8427695636494771,0.7658528592495494,2773,2337,993,436
infrastructure_and_utility_damage,0.6711599858105711,0.7409438026238496,0.7043275942298743,5107,3784,1854,1323
injured_or_dead_people,0.9165165165165166,0.8556209700028035,0.8850224735392199,3567,3052,278,515
missing_or_found_people,0.6928571428571428,0.7028985507246377,0.697841726618705,138,97,43,41
not_humanitarian,0.44784063260340634,0.7811671087533156,0.5693021457568143,3770,2945,3631,825
other_relevant_information,0.5076052352316944,0.18986504366234452,0.27636013480982186,7558,1435,1392,6123
requests_or_urgent_needs,0.5135460565924143,0.5395319418089817,0.526218383713757,1581,853,808,728
rescue_volunteering_or_donation_effort,0.8227634434530986,0.8321951219512195,0.8274524069358553,12300,10236,2205,2064
sympathy_and_support,0.7158646097167857,0.764445537251045,0.73935790725327,4067,3109,1234,958
