event,n,accuracy,macro_f1
california_wildfires_2018,5163,0.7193492155723417,0.6331169593329691
canada_wildfires_2016,1569,0.7890376035691523,0.5267405487429204
cyclone_idai_2019,2753,0.742462767889575,0.5879460983659375
hurricane_dorian_2019,5329,0.6286357665603303,0.5257764060290295
hurricane_florence_2018,4384,0.7447536496350365,0.6011914346420573
hurricane_harvey_2017,6378,0.6525556600815302,0.5573161643839298
hurricane_irma_2017,6579,0.6187870497036023,0.5445559603894161
hurricane_maria_2017,5094,0.662740478994896,0.5770028394198461
kaikoura_earthquake_2016,1536,0.7180989583333334,0.631140100200032
kerala_floods_2018,5588,0.7040085898353615,0.523143755548043
